timestamp,value,__name__,instance,job,partition,run,strategy
2025-12-07T22:52:47.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:48.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:49.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:50.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:51.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:52.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:53.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:54.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:55.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:56.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:57.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:58.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:52:59.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:00.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:01.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:02.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:03.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:04.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:05.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:06.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:07.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:08.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:09.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:10.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:11.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:12.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
2025-12-07T22:53:13.0000000Z,0,partition_lag_messages,mbrokerbench:1234,mbrokerbench,P-1,1765147966.5210118,ModifiedWorstFitAssignment
